ambiguity_type,n,yes,no,unclear,yes_rate,yes_rate_percent,wilson_95_lower,wilson_95_upper,wilson_95_lower_percent,wilson_95_upper_percent
conflicting_temporal_authority_text,16,0,16,0,0.0,0.0,0.0,0.1936076805344365,0.0,19.36076805344365
missing_credential_and_terminal_operational_facts,16,0,16,0,0.0,0.0,0.0,0.1936076805344365,0.0,19.36076805344365
missing_dimensions_and_conditional_route_classification,16,8,8,0,0.5,50.0,0.27999563610326017,0.7200043638967398,27.999563610326017,72.00043638967398
missing_quantitative_facts,16,1,15,0,0.0625,6.25,0.01111934476464252,0.28328737570298945,1.1119344764642518,28.328737570298944
multi_authority_permit_handoff,16,1,15,0,0.0625,6.25,0.01111934476464252,0.28328737570298945,1.1119344764642518,28.328737570298944
mutable_currentness_and_authority_handoff,16,5,11,0,0.3125,31.25,0.14164643854782039,0.5559564416525933,14.164643854782039,55.59564416525933
