authority_count_band,n,yes,no,unclear,yes_rate,yes_rate_percent,wilson_95_lower,wilson_95_upper,wilson_95_lower_percent,wilson_95_upper_percent
one_primary_public_road_authority,16,1,15,0,0.0625,6.25,0.01111934476464252,0.28328737570298945,1.1119344764642518,28.328737570298944
port_authority_internal_rules_plus_terminal,16,0,16,0,0.0,0.0,0.0,0.1936076805344365,0.0,19.36076805344365
port_authority_plus_private_terminal,16,0,16,0,0.0,0.0,0.0,0.1936076805344365,0.0,19.36076805344365
state_plus_local,16,8,8,0,0.5,50.0,0.27999563610326017,0.7200043638967398,27.999563610326017,72.00043638967398
state_port_authority_police_terminal,16,5,11,0,0.3125,31.25,0.14164643854782039,0.5559564416525933,14.164643854782039,55.59564416525933
state_toll_local_port_authority_terminal,16,1,15,0,0.0625,6.25,0.01111934476464252,0.28328737570298945,1.1119344764642518,28.328737570298944
