route_path_id,route_path_label,n,yes,no,unclear,yes_rate,yes_rate_percent,wilson_95_lower,wilson_95_upper,wilson_95_lower_percent,wilson_95_upper_percent
north_avenue_cr624_direct_terminal_access,U.S. 1&9 → North Avenue / CR 624 → direct local terminal access,16,8,8,0,0.5,50.0,0.27999563610326017,0.7200043638967398,27.999563610326017,72.00043638967398
port_street_brewster_marlin,Port Street between Brewster Road and Marlin Street,16,5,11,0,0.3125,31.25,0.14164643854782039,0.5559564416525933,14.164643854782039,55.59564416525933
