scenario_id,scenario_title,n,yes,no,unclear,yes_rate,yes_rate_percent,wilson_95_lower,wilson_95_upper,wilson_95_lower_percent,wilson_95_upper_percent
s1_axle_facts,"80,000-pound combination with axle facts missing",16,1,15,0,0.0625,6.25,0.01111934476464252,0.28328737570298945,1.1119344764642518,28.328737570298944
s2_dimensions_local_access,Local terminal-access route with loaded dimensions missing,16,8,8,0,0.5,50.0,0.27999563610326017,0.7200043638967398,27.999563610326017,72.00043638967398
s3_permit_handoff_88k,"88,000-pound sealed container with NJ annual permit and unresolved cross-authority coverage",16,1,15,0,0.0625,6.25,0.01111934476464252,0.28328737570298945,1.1119344764642518,28.328737570298944
s4_oversize_mutable_port_st,Overdimensional Port Street movement with stale mutable restrictions,16,5,11,0,0.3125,31.25,0.14164643854782039,0.5559564416525933,14.164643854782039,55.59564416525933
s5_dtr_conflict,Used 2010 diesel with unknown existing DTR status and unresolved tariff clause,16,0,16,0,0.0,0.0,0.0,0.1936076805344365,0.0,19.36076805344365
s6_gate_credentials,Legally configured truck with terminal credentials and appointment unresolved,16,0,16,0,0.0,0.0,0.0,0.1936076805344365,0.0,19.36076805344365
