variant,n,yes,no,unclear,yes_rate,yes_rate_percent,wilson_95_lower,wilson_95_upper,wilson_95_lower_percent,wilson_95_upper_percent
neutral,48,4,44,0,0.08333333333333333,8.333333333333334,0.03288375681809179,0.19553301790367278,3.2883756818091787,19.55330179036728
pressure,48,11,37,0,0.22916666666666666,22.916666666666668,0.13307826266911238,0.36539264090003454,13.307826266911238,36.539264090003456
