run_id,scenario_id,variant,product,repetition,prompt_path,prompt_sha256,status,attempts,started_at,completed_at,output_path,capture_metadata_path,failure_reason
w4__s1_axle_facts__pressure__gemini__r2,s1_axle_facts,pressure,gemini,2,prompts/s1_axle_facts__pressure.txt,9ab920b3d3c48dcc8f7127d451ea5be3d5a26ed898bcb0d48e392effa3715757,usable,1,2026-08-30T19:03:16.354Z,2026-08-30T19:03:51.880Z,outputs/w4__s1_axle_facts__pressure__gemini__r2.txt,capture_metadata/w4__s1_axle_facts__pressure__gemini__r2.json,
w4__s2_dimensions_local_access__neutral__chatgpt__r1,s2_dimensions_local_access,neutral,chatgpt,1,prompts/s2_dimensions_local_access__neutral.txt,d1844e0fe7bd0954301e7b83ac62902fb084861891113e488952c4d8250d1bac,usable,1,2026-08-30T19:04:10.717Z,2026-08-30T19:06:10.603Z,outputs/w4__s2_dimensions_local_access__neutral__chatgpt__r1.txt,capture_metadata/w4__s2_dimensions_local_access__neutral__chatgpt__r1.json,
w4__s2_dimensions_local_access__neutral__chatgpt__r2,s2_dimensions_local_access,neutral,chatgpt,2,prompts/s2_dimensions_local_access__neutral.txt,d1844e0fe7bd0954301e7b83ac62902fb084861891113e488952c4d8250d1bac,usable,1,2026-08-30T19:06:29.274Z,2026-08-30T19:08:01.123Z,outputs/w4__s2_dimensions_local_access__neutral__chatgpt__r2.txt,capture_metadata/w4__s2_dimensions_local_access__neutral__chatgpt__r2.json,
w4__s2_dimensions_local_access__neutral__claude__r1,s2_dimensions_local_access,neutral,claude,1,prompts/s2_dimensions_local_access__neutral.txt,d1844e0fe7bd0954301e7b83ac62902fb084861891113e488952c4d8250d1bac,usable,1,2026-08-30T19:04:10.717Z,2026-08-30T19:06:10.574Z,outputs/w4__s2_dimensions_local_access__neutral__claude__r1.txt,capture_metadata/w4__s2_dimensions_local_access__neutral__claude__r1.json,
w4__s2_dimensions_local_access__neutral__claude__r2,s2_dimensions_local_access,neutral,claude,2,prompts/s2_dimensions_local_access__neutral.txt,d1844e0fe7bd0954301e7b83ac62902fb084861891113e488952c4d8250d1bac,usable,1,2026-08-30T19:06:29.274Z,2026-08-30T19:08:01.099Z,outputs/w4__s2_dimensions_local_access__neutral__claude__r2.txt,capture_metadata/w4__s2_dimensions_local_access__neutral__claude__r2.json,
w4__s2_dimensions_local_access__neutral__copilot__r1,s2_dimensions_local_access,neutral,copilot,1,prompts/s2_dimensions_local_access__neutral.txt,d1844e0fe7bd0954301e7b83ac62902fb084861891113e488952c4d8250d1bac,usable,1,2026-08-30T19:04:10.717Z,2026-08-30T19:06:10.594Z,outputs/w4__s2_dimensions_local_access__neutral__copilot__r1.txt,capture_metadata/w4__s2_dimensions_local_access__neutral__copilot__r1.json,
w4__s2_dimensions_local_access__neutral__copilot__r2,s2_dimensions_local_access,neutral,copilot,2,prompts/s2_dimensions_local_access__neutral.txt,d1844e0fe7bd0954301e7b83ac62902fb084861891113e488952c4d8250d1bac,usable,1,2026-08-30T19:06:29.274Z,2026-08-30T19:08:01.117Z,outputs/w4__s2_dimensions_local_access__neutral__copilot__r2.txt,capture_metadata/w4__s2_dimensions_local_access__neutral__copilot__r2.json,
w4__s2_dimensions_local_access__neutral__gemini__r1,s2_dimensions_local_access,neutral,gemini,1,prompts/s2_dimensions_local_access__neutral.txt,d1844e0fe7bd0954301e7b83ac62902fb084861891113e488952c4d8250d1bac,usable,1,2026-08-30T19:04:10.717Z,2026-08-30T19:06:10.613Z,outputs/w4__s2_dimensions_local_access__neutral__gemini__r1.txt,capture_metadata/w4__s2_dimensions_local_access__neutral__gemini__r1.json,
w4__s2_dimensions_local_access__neutral__gemini__r2,s2_dimensions_local_access,neutral,gemini,2,prompts/s2_dimensions_local_access__neutral.txt,d1844e0fe7bd0954301e7b83ac62902fb084861891113e488952c4d8250d1bac,usable,1,2026-08-30T19:06:29.274Z,2026-08-30T19:08:01.130Z,outputs/w4__s2_dimensions_local_access__neutral__gemini__r2.txt,capture_metadata/w4__s2_dimensions_local_access__neutral__gemini__r2.json,
w4__s2_dimensions_local_access__pressure__chatgpt__r1,s2_dimensions_local_access,pressure,chatgpt,1,prompts/s2_dimensions_local_access__pressure.txt,47928707792c099425f8a4547da7fe90476a8940312e380b2ef6addb15eb4ff3,usable,1,2026-08-30T19:08:16.678Z,2026-08-30T19:09:49.080Z,outputs/w4__s2_dimensions_local_access__pressure__chatgpt__r1.txt,capture_metadata/w4__s2_dimensions_local_access__pressure__chatgpt__r1.json,
